source_event_index,split,target_class,physical_muon_count,active_hits,active_hit_fraction,total_tot,mean_tot_active,max_tot_active,time_span,z_span,z_mean,radius_mean,radius_std,hit_dir_z_mean,hit_dir_z_std,primary_energy_mc,secondary_energy_mc,total_energy_mc,primary_dir_x_mc,primary_dir_y_mc,primary_dir_z_mc,secondary_dir_x_mc,secondary_dir_y_mc,secondary_dir_z_mc,secondary_direction_present_mc,primary_off_vertical_deg_mc,secondary_off_vertical_deg_mc,rec_dir_x_0,rec_dir_y_0,rec_dir_z_0,rec_dir_x_1,rec_dir_y_1,rec_dir_z_1
14213,train,0,1,54,0.10546875,1477.0,27.35185185185185,49.0,1800.0,153.66699,144.379150390625,744.9156539351852,2169.4462865908613,-0.17937677877920646,0.7696246368143836,412.70398122550023,412.70398122550023,825.4079624510005,-0.7708026244970755,-0.4437858702890892,-0.45707484660630376,0.0,0.0,0.0,False,62.8014868218452,,-0.7708026244970755,-0.4437858702890892,-0.45707484660630376,-0.7708026244970755,-0.4437858702890892,-0.45707484660630376
14214,train,1,2,68,0.1328125,1631.0,23.985294117647058,44.0,1856.0,164.26599,90.53201114430146,739.0597426470588,1888.538827483294,-0.0027835000963772043,0.5337971949500153,973.1583889846556,948.5795333846743,1921.73792236933,0.030133579055348532,-0.7595990770162147,-0.6496931657401283,0.030133579055348532,-0.7595990770162147,-0.6496931657401283,True,49.4815281208139,49.4815281208139,0.030133579055348532,-0.7595990770162147,-0.6496931657401283,0.030133579055348532,-0.7595990770162147,-0.6496931657401283
14215,train,0,1,46,0.08984375,1175.0,25.543478260869566,44.0,1844.0,153.52899,144.5859375,740.6908967391304,2357.524369021916,0.08280537439429242,0.5491977955506177,317.42598897939416,317.42598897939416,634.8519779587883,-0.7594334719475251,0.09583151631440588,-0.6434882455543454,0.0,0.0,0.0,False,49.94757627951914,,-0.7594334719475251,0.09583151631440588,-0.6434882455543454,-0.7594334719475251,0.09583151631440588,-0.6434882455543454
14216,val,2,3,331,0.646484375,10149.0,30.661631419939578,137.0,2040.0,163.02899,134.31393976586102,732.2608572507553,541.6322536990227,-0.12614526201230883,0.5518585627043489,6767.181117769577,136.31025660104302,6903.49137437062,-0.4223952506061667,0.5844189990532993,-0.6928467982251871,-0.4223952506061667,0.5844189990532993,-0.6928467982251871,True,46.144117765361464,46.144117765361464,-0.4223952506061667,0.5844189990532993,-0.6928467982251871,-0.4223952506061667,0.5844189990532993,-0.6928467982251871
14217,train,1,2,72,0.140625,1742.0,24.194444444444443,37.0,2356.0,164.155,94.71912977430556,742.4741753472222,1835.4813660003103,0.06064749426311917,0.5137338105540287,647.2257377782354,206.98390079208173,854.2096385703171,-0.12200203335126206,0.01548548080547238,-0.9924090405384167,-0.12200203335126206,0.01548548080547238,-0.9924090405384167,True,7.064168916549556,7.064168916549556,-0.12200203335126206,0.01548548080547238,-0.9924090405384167,-0.12200203335126206,0.01548548080547238,-0.9924090405384167
14218,train,2,3,67,0.130859375,1777.0,26.52238805970149,65.0,1732.0,164.012,149.57885377798507,745.2295359141791,1920.6073904211826,-0.08871121193046,0.5507901426365358,820.8708834900099,288.51072904124766,1109.3816125312576,-0.31649543924677276,0.5626996702141515,-0.7636751390983457,-0.31649543924677276,0.5626996702141515,-0.7636751390983457,True,40.21072989446112,40.21072989446112,-0.31649543924677276,0.5626996702141515,-0.7636751390983457,-0.31649543924677276,0.5626996702141515,-0.7636751390983457
14219,test,0,1,70,0.13671875,1880.0,26.857142857142858,48.0,2017.0,162.293,108.95818219866071,733.45703125,1843.0874612968378,-0.07578096389770508,0.5611277745698202,375.2005597400598,375.2005597400598,750.4011194801196,-0.3903778160536957,-0.5015546408716528,-0.7720415163404454,0.0,0.0,0.0,False,39.46242914069447,,-0.3903778160536957,-0.5015546408716528,-0.7720415163404454,-0.3903778160536957,-0.5015546408716528,-0.7720415163404454
14220,train,1,2,32,0.0625,727.0,22.71875,30.0,2012.0,124.70801,124.00052642822266,735.8583984375,2850.0008690554023,-0.09801327437162399,0.6665302215597844,643.8478904580622,82.65620617711144,726.5040966351737,-0.8443629193943725,-0.2907554397731362,-0.450013927111309,-0.8443629193943725,-0.2907554397731362,-0.450013927111309,True,63.25542249716819,63.25542249716819,-0.8443629193943725,-0.2907554397731362,-0.450013927111309,-0.8443629193943725,-0.2907554397731362,-0.450013927111309
14221,train,0,1,48,0.09375,1195.0,24.895833333333332,40.0,2240.0,163.101,98.21140543619792,736.6012369791666,2290.221154211909,-0.03462085872888565,0.5361050480261734,572.0544758545544,572.0544758545544,1144.1089517091089,0.290262385730876,-0.1571629162412696,-0.9439531583655832,0.0,0.0,0.0,False,19.27359707071447,,0.290262385730876,-0.1571629162412696,-0.9439531583655832,0.290262385730876,-0.1571629162412696,-0.9439531583655832
14222,val,1,2,58,0.11328125,1541.0,26.56896551724138,51.0,2106.0,163.95,123.52966729525862,742.0138739224138,2076.019383033814,-0.03949468300260346,0.5417413672277361,1823.3460562175826,1344.5224233580234,3167.868479575606,0.2409268839116526,-0.1758385435601247,-0.9544815572902785,0.2409268839116526,-0.1758385435601247,-0.9544815572902785,True,17.35372127383016,17.35372127383016,0.2409268839116526,-0.1758385435601247,-0.9544815572902785,0.2409268839116526,-0.1758385435601247,-0.9544815572902785
